ENSP,is_oncogene,is_fusion,is_TSG,is_cancer_protein
ENSP00000424265,False,False,True,True
ENSP00000257430,False,False,True,True
ENSP00000473355,False,False,True,True
ENSP00000427089,False,False,True,True
ENSP00000423828,False,False,True,True
ENSP00000484935,False,False,True,True
ENSP00000385068,True,False,True,True
ENSP00000327459,True,False,True,True
ENSP00000385060,True,False,True,True
ENSP00000338897,True,False,True,True
ENSP00000379358,True,False,False,True
ENSP00000363822,True,False,False,True
ENSP00000484033,True,False,False,True
ENSP00000421155,True,False,False,True
ENSP00000425199,True,False,False,True
ENSP00000479013,True,False,False,True
ENSP00000379359,True,False,False,True
ENSP00000366244,True,False,False,True
ENSP00000366238,True,False,False,True
ENSP00000495131,False,True,True,True
ENSP00000274498,False,True,True,True
ENSP00000495827,False,True,True,True
ENSP00000494415,False,True,True,True
ENSP00000411571,False,True,True,True
ENSP00000493847,False,True,True,True
ENSP00000393276,False,True,True,True
ENSP00000416889,False,True,True,True
ENSP00000392186,False,True,True,True
ENSP00000413283,False,True,True,True
ENSP00000400565,False,True,True,True
ENSP00000389137,False,True,True,True
ENSP00000403388,False,True,True,True
ENSP00000500409,False,False,True,True
ENSP00000452372,True,False,False,True
ENSP00000452222,True,False,False,True
ENSP00000441692,True,False,False,True
ENSP00000379827,True,False,False,True
ENSP00000407395,True,False,False,True
ENSP00000451579,True,False,False,True
ENSP00000451061,True,False,False,True
ENSP00000452606,True,False,False,True
ENSP00000371897,True,False,False,True
ENSP00000340297,False,False,True,True
ENSP00000427909,False,False,True,True
ENSP00000431012,False,False,True,True
ENSP00000381571,False,False,True,True
ENSP00000381568,False,False,True,True
ENSP00000427768,False,False,True,True
ENSP00000355060,False,False,True,True
ENSP00000364564,False,False,True,True
ENSP00000364557,False,False,True,True
ENSP00000167825,False,False,True,True
ENSP00000349056,False,True,True,True
ENSP00000380942,False,True,True,True
ENSP00000432984,False,True,True,True
ENSP00000390317,False,True,True,True
ENSP00000320485,False,True,True,True
ENSP00000490650,False,True,True,True
ENSP00000387636,False,True,True,True
ENSP00000432473,False,True,True,True
ENSP00000363267,False,True,True,True
ENSP00000489842,False,True,True,True
ENSP00000432368,False,True,True,True
ENSP00000436692,False,True,True,True
ENSP00000344546,False,False,True,True
ENSP00000490491,False,False,True,True
ENSP00000055163,False,False,True,True
ENSP00000412835,False,False,True,True
ENSP00000489729,False,False,True,True
ENSP00000501338,False,False,True,True
ENSP00000490094,False,False,True,True
ENSP00000489917,False,False,True,True
ENSP00000490050,False,False,True,True
ENSP00000489982,False,False,True,True
ENSP00000490420,False,False,True,True
ENSP00000313006,False,False,True,True
ENSP00000490944,False,False,True,True
ENSP00000490948,False,False,True,True
ENSP00000489666,False,False,True,True
ENSP00000490550,False,False,True,True
ENSP00000489636,False,False,True,True
ENSP00000490511,False,False,True,True
ENSP00000490385,False,False,True,True
ENSP00000383596,False,False,True,True
ENSP00000489717,False,False,True,True
ENSP00000415650,False,False,True,True
ENSP00000335044,False,False,True,True
ENSP00000514783,False,False,True,True
ENSP00000397307,False,False,True,True
ENSP00000388357,False,False,True,True
ENSP00000481488,False,False,True,True
ENSP00000351407,True,True,True,True
ENSP00000425899,True,True,True,True
ENSP00000346372,True,True,True,True
ENSP00000423851,True,True,True,True
ENSP00000427571,True,True,True,True
ENSP00000425363,True,True,True,True
ENSP00000356379,False,False,False,True
ENSP00000505384,False,False,False,True
ENSP00000294732,False,False,False,True
ENSP00000506676,False,False,False,True
ENSP00000505363,False,False,False,True
ENSP00000463316,False,True,False,True
ENSP00000306625,False,True,False,True
ENSP00000302176,False,True,False,True
ENSP00000344020,False,True,False,True
ENSP00000464408,False,True,False,True
ENSP00000462329,False,True,False,True
ENSP00000464044,False,True,False,True
ENSP00000461984,False,True,False,True
ENSP00000463708,False,True,False,True
ENSP00000463992,False,True,False,True
ENSP00000462218,False,True,False,True
ENSP00000461980,False,True,False,True
ENSP00000499150,False,False,True,True
ENSP00000364839,False,False,True,True
ENSP00000493987,False,False,True,True
ENSP00000494813,False,False,True,True
ENSP00000494077,False,False,True,True
ENSP00000497010,False,False,True,True
ENSP00000495053,False,False,True,True
ENSP00000495495,False,False,True,True
ENSP00000451216,False,False,True,True
ENSP00000495003,False,False,True,True
ENSP00000364841,False,False,True,True
ENSP00000305119,False,False,True,True
ENSP00000480361,False,False,True,True
ENSP00000495488,False,False,True,True
ENSP00000496042,False,False,True,True
ENSP00000391447,False,False,True,True
ENSP00000337250,False,False,True,True
ENSP00000383920,False,False,True,True
ENSP00000500467,False,False,True,True
ENSP00000499938,False,False,True,True
ENSP00000500214,False,False,True,True
ENSP00000448592,True,True,False,True
ENSP00000448421,True,True,False,True
ENSP00000262053,True,True,False,True
ENSP00000448987,True,True,False,True
ENSP00000448921,True,True,False,True
ENSP00000388675,False,True,False,True
ENSP00000236959,False,True,False,True
ENSP00000406792,False,True,False,True
ENSP00000415935,False,True,False,True
ENSP00000394317,False,True,False,True
ENSP00000402393,False,True,False,True
ENSP00000401936,False,True,False,True
ENSP00000501606,False,False,True,True
ENSP00000435747,False,False,True,True
ENSP00000502563,False,False,True,True
ENSP00000508178,False,False,True,True
ENSP00000432318,False,False,True,True
ENSP00000483338,False,False,True,True
ENSP00000388058,False,False,True,True
ENSP00000507649,False,False,True,True
ENSP00000507125,False,False,True,True
ENSP00000492487,False,False,True,True
ENSP00000492354,False,False,True,True
ENSP00000491585,False,False,True,True
ENSP00000278616,False,False,True,True
ENSP00000480205,False,False,True,True
ENSP00000469471,False,False,True,True
ENSP00000508284,False,False,True,True
ENSP00000508010,False,False,True,True
ENSP00000508245,False,False,True,True
ENSP00000491957,False,False,True,True
ENSP00000434327,False,False,True,True
ENSP00000435524,False,False,True,True
ENSP00000400124,True,False,True,True
ENSP00000295598,True,False,True,True
ENSP00000445306,True,False,True,True
ENSP00000358506,True,False,True,True
ENSP00000358508,True,False,True,True
ENSP00000396236,True,False,True,True
ENSP00000263519,False,False,True,True
ENSP00000352062,False,False,True,True
ENSP00000343886,False,False,True,True
ENSP00000359205,False,False,True,True
ENSP00000516173,False,False,True,True
ENSP00000508126,False,False,True,True
ENSP00000377425,False,False,True,True
ENSP00000516174,False,False,True,True
ENSP00000516175,False,False,True,True
ENSP00000516176,False,False,True,True
ENSP00000499225,False,False,True,True
ENSP00000343741,False,False,True,True
ENSP00000421870,False,False,True,True
ENSP00000499589,False,False,True,True
ENSP00000425897,False,False,True,True
ENSP00000426595,False,False,True,True
ENSP00000362441,False,False,True,True
ENSP00000502598,False,False,True,True
ENSP00000378967,False,False,True,True
ENSP00000480196,False,False,True,True
ENSP00000485274,False,False,True,True
ENSP00000383663,False,False,True,True
ENSP00000485183,False,False,True,True
ENSP00000485103,False,False,True,True
ENSP00000485408,False,False,True,True
ENSP00000485253,False,False,True,True
ENSP00000485127,False,False,True,True
ENSP00000485099,False,False,True,True
ENSP00000485100,False,False,True,True
ENSP00000490150,False,False,True,True
ENSP00000485587,False,False,True,True
ENSP00000262320,False,False,True,True
ENSP00000346935,False,False,True,True
ENSP00000416835,False,False,True,True
ENSP00000302625,False,False,True,True
ENSP00000478916,False,False,True,True
ENSP00000364854,False,False,True,True
ENSP00000464264,False,False,True,True
ENSP00000463761,False,False,True,True
ENSP00000463192,False,False,True,True
ENSP00000441151,False,False,True,True
ENSP00000453191,False,False,True,True
ENSP00000453350,False,False,True,True
ENSP00000340858,False,False,True,True
ENSP00000497910,False,False,True,True
ENSP00000452861,False,False,True,True
ENSP00000453186,False,False,True,True
ENSP00000417132,False,False,True,True
ENSP00000418320,False,False,True,True
ENSP00000296288,False,False,True,True
ENSP00000482839,False,False,True,True
ENSP00000420647,False,False,True,True
ENSP00000419709,False,False,True,True
ENSP00000417776,False,False,True,True
ENSP00000260947,False,False,True,True
ENSP00000405020,False,False,True,True
ENSP00000482293,False,False,True,True
ENSP00000480470,False,False,True,True
ENSP00000484464,False,False,True,True
ENSP00000498880,False,False,True,True
ENSP00000484976,False,False,True,True
ENSP00000392245,False,False,True,True
ENSP00000483275,False,False,True,True
ENSP00000412186,False,False,True,True
ENSP00000481988,False,False,True,True
ENSP00000263262,False,False,True,True
ENSP00000426328,False,False,True,True
ENSP00000441413,False,False,True,True
ENSP00000348871,False,False,True,True
ENSP00000389971,False,False,True,True
ENSP00000346461,False,False,True,True
ENSP00000426184,False,False,True,True
ENSP00000293288,False,False,True,True
ENSP00000353458,False,False,True,True
ENSP00000351555,False,False,True,True
ENSP00000371859,False,False,True,True
ENSP00000450902,False,False,True,True
ENSP00000450923,False,False,True,True
ENSP00000480380,False,False,True,True
ENSP00000451896,False,False,True,True
ENSP00000498104,False,True,True,True
ENSP00000480561,False,True,True,True
ENSP00000497490,False,True,True,True
ENSP00000495759,True,True,False,True
ENSP00000349300,True,True,False,True
ENSP00000352648,True,True,False,True
ENSP00000488390,True,True,False,True
ENSP00000496588,True,True,False,True
ENSP00000488636,True,True,False,True
ENSP00000493484,True,True,False,True
