,degree_mean,cancer_density,n_tsg_edges,n_oncogene_edges,n_tsg_oncogene_edges
54,78.47524752475248,0.004327425862780531,216,209,413
55,79.36916548797737,0.0043594808691714984,208,228,426
56,78.5007072135785,0.004131088948635859,224,190,372
57,78.6082036775106,0.004159137079227955,205,199,405
58,78.36492220650636,0.004175164582423439,199,195,385
59,78.52192362093352,0.00422725396780876,209,210,373
60,79.44413012729845,0.004303384607987306,220,186,398
61,78.5954738330976,0.00413509582443473,206,224,410
62,79.004243281471,0.004139102700233601,213,202,386
63,78.37482319660538,0.004223247092009889,218,197,432
64,79.04667609618105,0.00422725396780876,201,201,400
65,78.77652050919377,0.0042713296015963395,225,213,395
66,78.27864214992928,0.004054958308457313,196,187,393
67,78.64356435643565,0.004311398359585048,202,207,386
68,78.78783592644979,0.004215233340412147,194,193,385
69,78.48797736916549,0.0040990339422448925,208,196,404
70,78.34653465346534,0.0042713296015963395,207,226,410
71,78.62376237623762,0.003982834544077637,200,176,362
72,78.17538896746818,0.004151123327630213,207,187,367
73,78.58698727015559,0.0044035565029590775,215,190,425
74,79.28429985855729,0.004427597757752303,189,229,419
75,78.93493635077793,0.004243281471004243,190,209,418
76,78.73267326732673,0.004163143955026826,206,197,404
77,78.88684582743988,0.004339446490177144,215,223,421
78,79.23338048090524,0.004255302098400856,199,201,378
79,78.99151343705799,0.004399549627160207,221,209,419
80,79.03536067892503,0.004219240216211018,218,196,383
81,78.7977369165488,0.004307391483786177,215,209,411
82,78.38189533239039,0.003986841419876508,194,173,385
83,79.19236209335219,0.004091020190647151,178,192,347
84,79.15275813295615,0.004131088948635859,200,198,392
85,78.72418670438472,0.004151123327630213,209,200,383
86,78.84016973125884,0.004351467117573757,208,198,417
87,78.64780763790665,0.004199205837216664,221,199,409
88,78.38330975954739,0.004195198961417793,201,199,398
89,78.63932107496464,0.004123075197038117,203,195,392
90,78.88826025459689,0.004167150830825697,178,196,396
91,78.87694483734087,0.004391535875562465,213,216,394
92,78.83168316831683,0.004151123327630213,192,204,388
93,78.39603960396039,0.004111054569641505,192,188,395
94,78.56435643564356,0.003986841419876508,187,200,396
95,78.11456859971712,0.004091020190647151,197,198,375
96,78.55728429985855,0.004247288346803114,224,192,391
